Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Bio-Rad Laboratories,"Bio-Rad provides the healthcare industry with innovative and useful products that help life science researchers accelerate the discovery process and medical diagnostic labs obtain faster, better results. For more than 70 years we have built long-lasting customer relationships that help advance our research and development efforts in the introduction of new products and solutions. Today, Bio-Rad is a global leader, with a team of almost 8,000 employees and a network of operations that serves our life science research and clinical diagnostics customers, advancing science and saving lives, together.",Biotechnology Research,"5,001-10,000 employees",Public Company,"Hercules, California, United States",United States,bio-rad.com,https://www.linkedin.com/company/bio-rad
BioprocessAI,"BioprocessAI offers a single-stop SaaS Platform for medicine manufacturing, acting as a co-pilot for Bioprocess Scientists. Our AI platform automates tasks and empowers informed decisions, accelerating your path from bench to market.",Biotechnology Research,11-50 employees,Privately Held,"San Francisco Bay Area, California, United States",United States,bioprocess.ai,https://www.linkedin.com/company/bioprocess-ai
"GenVivo, Inc.","GenVivo was founded on the idea that we can effectively treat cancer patients with the latest gene delivery technologies. We are committed to enhancing the overall patient treatment experience.

We deliver innovative drugs to empower the patient’s own immune system to mount a targeted attack against cancer. 

These therapies are off-the-shelf and come without the cost and time delays associated with personalized cancer vaccines. We are dedicated to providing accessible and efficient solutions that redefine the landscape of cancer treatment.",Biotechnology Research,51-200 employees,Privately Held,"San Marino, California, United States",United States,genvivoinc.com,https://www.linkedin.com/company/genvivo-inc
Meissa Vaccines,"Meissa is a private biotech company focused on the advancement of vaccines for respiratory viruses. Meissa was founded on proprietary technologies employing reverse genetics for rational design of more effective live attenuated vaccines. The technology is exclusively licensed from Emory University and Children’s Healthcare of Atlanta. Dr. Moore, together with Dr. Roderick Tang, a vaccine biotech expert, co-founded Meissa. They are supported by a team with extensive experience in all aspects of vaccine development.  Meissa is currently a resident company at the Johnson & Johnson Innovation – JLABS in South San Francisco.",Biotechnology Research,11-50 employees,Privately Held,"Downtown Redwood City, California, United States",United States,meissavaccines.com,https://www.linkedin.com/company/meissa-vaccines
Claret Bioscience,"We are an early-stage biotech startup based in Santa Cruz. We are a small, motivated, multi-disciplinary team innovating in NGS sequencing technologies and DNA assay design for applications in molecular diagnostics with focus on liquid biopsies, FFPE and ancient DNA

Interested in beta testing our single-stranded approach to NGS library prep? Get in touch! www.claretbio.com/contact 

We are always looking to build our team with seasoned scientists who want to be on the ground-level of ground-breaking technology.",Biotechnology Research,11-50 employees,Privately Held,"Scotts Valley, California, United States",United States,claretbio.com,https://www.linkedin.com/company/claretbio
Sierra BioSystems Inc.,"At Sierra BioSystems, we exist to remove the obstacles that slow progress in genomic research. Our oligonucleotide synthesizers deliver performance, adaptability, and reliability—evolving as rapidly as the scientists who drive discovery. 

We engineer automation that integrates seamlessly into real-world laboratory workflows and back it with unmatched expertise and support. By making cutting-edge synthesis technology accessible to every lab—not just the largest institutions—we ensure that wherever curiosity and determination thrive, breakthroughs follow.",Biotechnology Research,11-50 employees,Privately Held,"Sonora, California, United States",United States,sierrabio.com,https://www.linkedin.com/company/sierra-biosystems-inc
GENCEFE BIOTECH,"GENCEFE BIOTECH LIMITED was founded in 2020, and started its US branch in 2021. GenCefe focuses on the development and application of molecular biology technologies, using high-throughput, automation technology and artificial intelligence to break through the bottleneck of the gene synthesis industry.

We are aiming to build an innovative synthetic biology technology and application platform, providing integrated CRO services and raw material production to meet the needs of the biomedical industry, in vitro diagnostic industry and scientific research. Our product portfolio serves researchers worldwide in cell and gene therapy, biopharmaceutical and vaccine development, etc. GenCefe's R&D team is led by Prof. Lei Kai, who is an expert of CFPS (Cell Free Protein Synthesis) and a distinguished professor of Jiangsu Province. The company has established an experienced, professional and efficient scientific team, focusing on CRO services and in vitro diagnostic (IVD) reagents core raw materials production.

 

To comply with ISO9001 quality management standards, GenCefe adopts standardized management operations in the entire process of product development, production, packaging, storage and transportation, as well as company management and operation. We continuously optimize the production and operation procedures to provide high quality products and services to customers.",Biotechnology Research,51-200 employees,Privately Held,"City of Industry, California, United States",United States,gencefebio.com,https://www.linkedin.com/company/gencefe-biotech
"Acepix Biosciences, Inc, A CellBio Scientific Company","Acepix is comprised of a dedicated team of scientists and clinical professionals who specialize in delivering essential histopathology products and services tailored for the biopharma research community. We seek to accelerate preclinical research by offering a comprehensive suite of histology solutions, acting as a vital extension of our clients’ teams. We shorten the path to your discovery.",Biotechnology Research,11-50 employees,Privately Held,"Union City, California, United States",United States,acepixbio.com,https://www.linkedin.com/company/acepix-biosciences
New England Biolabs France,"Créée en 2011, New England Biolabs France est une filiale de New England Biolabs Inc.(NEB), une société privée américaine basée à Ipswich dans le Massachussets. NEB est leader mondial pour la production et la distribution de réactifs destinés à la recherche en science de la vie. NEB possède dix filiales réparties dans le monde.",Biotechnology Research,11-50 employees,Privately Held,"South Pasadena, California, United States",United States,neb-online.fr,https://www.linkedin.com/company/neb-france
MaxEditas,"MaxEditas specializes in agricultural biotechnology, offering innovative solutions to enhance farming practices. We provide advanced services in gene editing and plant transformation, optimizing plant traits for food security and environmental sustainability. Our team of scientists and AgTech professionals is committed to delivering efficient, high-quality results while focusing on client needs and ensuring intellectual property rights. We are dedicated to advancing technological innovation in agriculture.",Biotechnology Research,2-10 employees,Privately Held,"West Sacramento, California, United States",United States,maxeditas.com,https://www.linkedin.com/company/maxeditas
