Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Watershed,"Watershed is the enterprise sustainability platform. Companies like Airbnb, Carlyle Group, the CDP, YETI, and BBVA use Watershed to reduce emissions, meet customer, investor and regulatory requirements, and modernize their sustainability programs. 

With offices in London, New York and San Francisco, and remote employees across the US and Europe, we’re growing fast and hiring for a variety of roles! Explore all of our open opportunities at watershed.com/jobs.",Climate Data and Analytics,201-500 employees,Privately Held,"San Francisco, California, United States",United States,watershed.com,https://www.linkedin.com/company/watershedclimate
Greenly,"Greenly is on a mission to democratize access to science-backed climate intelligence, transforming sustainability from a compliance burden into a strategic competitive advantage. 

In a world where sustainability once meant costly consultants, manual data entry, and static PDF reports, Greenly makes climate action accessible, precise, and actionable for everyone: from SMEs to global enterprises. 

Our all-in-one sustainability suite centralizes everything from carbon management and LCAs to ESG & CSRD reporting, backed by 4000+ delivered GHG reports, 10+ ESG frameworks, and a supplier platform engaging over 5,000 partners. Trusted by 3,500 clients in 25 countries, Greenly combines science-backed precision, with access to 300k+ emission factors and methodologies aligned with the GHG Protocol, ISO, and SBTi, with expert guidance from 70+ climate professionals, ensuring every company builds credible strategies and becomes smarter about climate as they go. 

Designed with efficient tech and intuitive UX, Greenly streamlines sustainability operations with integrations across 100+ softwares, automated quality controls, and real-time data visualizations, earning us top ratings (4.9 G2, 4.8 Capterra, 4.6 Trustpilot). 

Greenly empowers companies to own their climate expertise in-house and collectively drive impact toward our bold goal: avoiding 1 billion tons of CO2 by 2030.",Climate Data and Analytics,201-500 employees,Privately Held,"New York, New York, United States",United States,greenly.earth,https://www.linkedin.com/company/greenly-earth
Carbon Direct,"Carbon Direct is a trusted energy and climate solutions company that combines world-class scientific expertise, technical rigor, and market insights to help clients achieve their business goals. Our 70+ scientists work closely with our finance, policy, and market experts to design, diligence, and deliver decarbonization solutions across industries. From JPMorganChase to Microsoft, Carbon Direct helps leading companies with carbon dioxide removal, carbon measurement, firm, clean power opportunities, and low-carbon energy solutions.",Climate Data and Analytics,51-200 employees,Privately Held,"New York, New York, United States",United States,carbon-direct.com,https://www.linkedin.com/company/carbon-direct
Sylvera,"Sylvera is the independent carbon data platform trusted by buy and sell side market participants and policymakers to navigate the carbon market with confidence. 

We build data models and software tools that combine extensive project assessments, real-world market and pricing intelligence, and geospatial lidar monitoring to deliver actionable insights that drive real climate action.

Sylvera enables smarter, faster, and more confident decisions by combining quality indicator, price, and real-world performance data into a single source of truth.

We're backed by renowned investors like Balderton Capital, Index Ventures, Insight Partners, LocalGlobe, and Salesforce Ventures.",Climate Data and Analytics,51-200 employees,Privately Held,"New York, New York, United States",United States,sylvera.com,https://www.linkedin.com/company/sylveracarbon
Climate Analytics,Climate Analytics is a global climate science and policy institute working to accelerate climate action and keep warming below 1.5°C.,Climate Data and Analytics,51-200 employees,Non Profit,"New York, New York, United States",United States,climateanalytics.org,https://www.linkedin.com/company/climate-analytics
First Street,"First StreetTM is the standard for climate risk financial modeling. Using transparent, peer-reviewed methodologies they calculate the past, present, and future climate risk for every property around the globe and make it available for consumers, industry and government.",Climate Data and Analytics,51-200 employees,Privately Held,"New York, New York, United States",United States,firststreet.org,https://www.linkedin.com/company/first-street
Ambee,"Ambee is a leading provider of global climate data and climate-based solutions. Since 2017, Ambee has been helping customers leverage climate data to make better informed business decisions, optimize operations, and mitigate climate risk. 

Our ready-to-integrate data includes data that flows from the past to present and into forecast and our award-winning solutions power leading global health, supply chain, mobility, media, manufacturing, retail and more, delivering exceptional value and insights.",Climate Data and Analytics,11-50 employees,Privately Held,"Princeton, New Jersey, United States",United States,getambee.com,https://www.linkedin.com/company/getambee
Climate X,"Backed by Google Ventures, Climate X is the leading risk intelligence platform empowering financial institutions and real estate owners to turn climate risk into resilient returns.

From London to New York, our team of climate scientists and financial risk experts delivers decision-ready intelligence with absolute clarity — quantifying exposure, translating it into financial impact, and mapping the ROI path to resilience.

With Climate X, you can:

• Pinpoint at-risk assets globally in seconds anywhere in the world
• Assess vulnerability to 11+ climate hazards at both asset and portfolio level
• Quantify financial impact with precision — from Estimated Annual Loss to business disruption
• Prioritize and budget for adaptation with clear ROI and CapEx clarity

Trusted by institutions managing over $13 trillion in assets — including top-3 North American banks, global top-3 private equity firms, and leading global consultancies including Deloitte, Capgemini and Bain & Co — Climate X is setting the global benchmark for how organizations de-risk the future and unlock climate-aligned growth.

Learn more on our website or by contacting us via enquiries@climate-x.com.",Climate Data and Analytics,51-200 employees,Privately Held,"New York, New York, United States",United States,climate-x.com,https://www.linkedin.com/company/climate-x
Jupiter Intelligence,"Jupiter is the trusted leader in climate risk analytics for organizations looking to strengthen their climate resilience. With forward-focused, rigorous methodologies and analytics delivered by some of the best scientists in the industry, Jupiter turns sophisticated climate science into actionable data. By managing, mitigating, and disclosing your climate risk, you can confront the challenges of tomorrow, today.",Climate Data and Analytics,51-200 employees,Privately Held,"San Mateo, California, United States",United States,jupiterintel.com,https://www.linkedin.com/company/jupiterintel
Tracera,"Tracera is a cutting-edge platform empowering businesses to achieve sustainability goals with high-integrity, auditable ESG data. It helps you simplify data collection, verification, and reporting, enabling companies to meet regulations, improve ESG ratings, and drive impactful change. Trusted by global leaders, Tracera is making sustainability measurable, transparent, and actionable.",Climate Data and Analytics,11-50 employees,Privately Held,"New York, New York, United States",United States,tracera.com,https://www.linkedin.com/company/tracera-ai
CDR.fyi,"The CDR.fyi platform is open to all market participants, delivering intelligence, insights, educational resources, and tools to increase trust and reduce friction.

To get started, visit www.cdr.fyi/partners.",Climate Data and Analytics,2-10 employees,Privately Held,"New York, New York, United States",United States,cdr.fyi,https://www.linkedin.com/company/cdr-fyi
Credibl,"Credibl: AI-Powered Sustainability Intelligence Platform!

Credibl is a leading decarbonization platform specializing in Scope 3 emissions calculations. We provide cutting-edge AI-powered tools for Environmental, Social, and Governance (ESG) data management and reporting, enabling organizations to navigate sustainability challenges with precision. Our platform offers end-to-end traceability, climate risk management, and comprehensive ESG reporting, seamlessly integrating with existing systems.

We are trusted by industry leaders like IHCL, Flipkart, Pangaia, Scholler Allibert, Sampo Rosenlew, RSPL, Welspun, and 100+ customers. Credibl has helped these companies meet global regulatory standards, enhance transparency, and drive sustainable growth. With a focus on accuracy, efficiency, and compliance, we are redefining the future of Sustainability management.

Our Products and Services:
 - ESG Data Management Platform: Our AI-powered platform simplifies the collection, analysis, and visualisation of environmental, social, and governance (ESG) data.
 - Sustainability Reporting Suite: Generate comprehensive and compliant ESG reports aligned with leading frameworks like PCAF, ESRS, CBAM, BRSR, and SASB.
 - Traceability & Supply Chain Management: Ensure ethical and responsible sourcing throughout your supply chain with our AI-powered traceability solutions.
 - Sustainability Strategy & Consulting: Benefit from our team of experts who can help develop and implement a customised sustainability strategy aligned with your business goals.

Join us in shaping a sustainable future. Let Credibl be your partner in navigating the path to responsible and impactful business practices.",Climate Data and Analytics,51-200 employees,Privately Held,"Fremont, California, United States",United States,crediblesg.com,https://www.linkedin.com/company/crediblesg
Good.Lab,"Sustainability can feel overwhelming. Good.Lab makes it manageable.

We're a team of sustainability experts backed by powerful AI-enabled software, and we provide hands-on guidance to companies at every stage. Whether you're trying to hit a compliance deadline or build a long-term sustainability strategy, our consultants will handle the complexity so you don't have to.

Here's what we help with:

- Measuring Scopes 1, 2, and 3 greenhouse gas (GHG) emissions
- Setting science-based targets (SBTi) to reduce emissions
- Materiality assessments and benchmarking
- Reporting to EcoVadis and CDP (Carbon Disclosure Project)
- Sustainability reports aligned with major international standards
- Meeting regulatory requirements like California's SB 253, SB 261, and the EU's CSRD

Whatever brought you to sustainability, we'll meet you there, and help you move forward.

Want to set up a quick chat? https://getgoodlab.com/contact",Climate Data and Analytics,11-50 employees,Privately Held,"San Mateo, California, United States",United States,getgoodlab.com,https://www.linkedin.com/company/getgoodlab
Unravel Carbon,"Unravel Carbon is the world’s first agentic platform for sustainability outcomes. Our AI agents and award-winning sustainability management platform set us apart. 

Our solutions are used by leading global companies and consultants in more than 50 countries to simplify emissions tracking, meet global regulatory standards, and accelerate climate action.

Our calculation methodology is certified by TÜV Rheinland against the GHG Protocol corporate standard for Scope 1, 2, and 3 emissions, and the ISO 14064 series for GHG inventories.

We ensure data security with our ISO 27001 certification and SOC 2 Type 1 attestation.

At Unravel Carbon, we are driven by a powerful mission: to accelerate the world's progress toward a zero-carbon economy. 

Unravel Carbon is backed by top-tier investors including Y Combinator and Sequoia Capital, and has offices in the U.S., Japan, Australia and Singapore. For more information please visit unravelcarbon.com.",Climate Data and Analytics,11-50 employees,Privately Held,"San Francisco, California, United States",United States,unravelcarbon.com,https://www.linkedin.com/company/unravelcarbon
TechGeo Mapping,"Welcome to TechGeo Mapping Blog – your go-to source for insights, trends, and tutorials in the world of GIS, remote sensing, and spatial data analysis. Our mission is to make geospatial technology accessible and engaging for professionals, students, and anyone passionate about the intersection of technology and geography.",Climate Data and Analytics,Self-employed,Self Employed,"Sunnyvale, California, United States",United States,techgeo.org,https://www.linkedin.com/company/techgeo-mapping
