Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
ZEISS Microscopy,"ZEISS is one of the world leading manufacturers of microscopes. In addition to excellent light and electron/ion microscopes, ZEISS also offers a broad range of optical sectioning systems as well as high-resolution X-ray microscopes. ZEISS Microscopy is a leading provider of microscope solutions in the life sciences, materials research, routine and industry markets.

Our microscope systems are much more than just hardware. A dedicated and well-trained sales force, an extensive support infrastructure, and a responsive service team enable customers to use their ZEISS instruments to their full potential.

Data Privacy: https://www.zeiss.com/data-protection

Imprint:

Carl Zeiss Microscopy GmbH
Carl-Zeiss-Promenade 10
07745 Jena, Germany
microscopy@zeiss.com

Local court Jena, HRB 210536
VAT REG No: DE814503774

Chairman of the Supervisory Board: Dr. Marc Wawerla

Management Board:
Dr. Michael Albiez (President & CEO)
Sandro Förster",Nanotechnology Research,"1,001-5,000 employees",Privately Held,"Thornwood, New York, United States",United States,zeiss.com,https://www.linkedin.com/company/carl-zeiss-microscopy-gmbh
Kleindiek Inc.,"We provide sales, support, and application development for nanoprobing & nanomanipulation to customers in the United States. 

Kleindiek Inc. is a wholly owned subsidiary of Kleindiek Nanotechnik GmbH.",Nanotechnology Research,2-10 employees,Privately Held,"Pleasanton, California, United States",United States,kleindiek.us,https://www.linkedin.com/company/kleindiek-inc
SPI SUPPLIES,"The SPI Supplies Division of Structure Probe, Inc. was started in 1975 and is now known worldwide as a leading manufacturer and distributor of sample preparation equipment and consumable supply items for the routine operation of the typical SEM, TEM, LM, SPM and surface analysis laboratory. The SPI Supplies website has become the world's ""reference resource"" for information about microscopy sample preparation and equipment maintenance items. We are also known as the innovator in our corner of the microscopy and microanalysis market.  Perhaps most importantly, with our own in-house SEM and TEM capabilities, we can quality inspect our products before final packaging.",Nanotechnology Research,11-50 employees,Privately Held,"West Chester, Pennsylvania, United States",United States,2spi.com,https://www.linkedin.com/company/spi-supplies
NanoTechLabs Inc.,NanoTechLabs Inc. (NTL)  specializes in nanomaterial and nanocomposite application development.  NTL produces nanomaterials and incorporates them into intermediary material formats and products.  NTL works directly with end-users to customize nanomaterials and optimize nanocomposite processing techniques for each application.,Nanotechnology Research,11-50 employees,Privately Held,"Yadkinville, North Carolina, United States",United States,nanotechlabs.com,https://www.linkedin.com/company/nanotechlabs-inc.
All Scientific,"(800) 898-4482
sales@allscientific.com
www. allscientific.com 

Solutions for Leading Edge Research & Manufacturing.

Representing manufacturers, distributing products and delivering customer solutions in these and other markets:
-Nanotechnology
-Optics & Lasers
-Semiconductor
-Vacuum Technology
-Space Simulation
-Accelerator & Particle Research
-Thin Film Coating
-Life Sciences
-Cryogenics
-Materials Analysis & Research",Nanotechnology Research,2-10 employees,Privately Held,"Durham, North Carolina, United States",United States,allscientific.com,https://www.linkedin.com/company/all-scientific
NanoScrips,"NanoScrips is developing novel, patent pending prodrugs and nanoparticles which significantly enhance the safety and efficacy of respective drugs. This is  achieved by covalent binding of active ingredient to polymers via ester links. The drugs are released in the body by the action of esterases over an extended period of time. The current pipeline of candidates are for glaucoma, retinal neurodegeneration, radiation sensitization of tumor (ex: Glioblastoma/Brain cancer), NASH/Liver fibrosis, Ulcerative colitis, Epilepsy and Alzheimer's. The company has one NIH funded grant for testing its efficacy in retinal disorder. NanoScrips has research agreements with the universities and National Institutes.",Nanotechnology Research,2-10 employees,Privately Held,"Dallas–Fort Worth metroplex, Texas, United States",United States,nanoscrips.com,https://www.linkedin.com/company/nanoscrips
B4C Technologies Inc.,"Our BLAZE  treatment uses chemistry and heat to produce a hard and slick Inter-metallic non-brittle layer at the surface of metal parts that provides extreme wear and abrasion resistance. Not a coating, the outer surface of the host material is transformed to an inter-metallic Boride from the original surface down to the penetration depth, without dimensional change.",Nanotechnology Research,2-10 employees,Privately Held,"Palm City, Florida, United States",United States,b4ctechnologies.com,https://www.linkedin.com/company/b4c-technologies
Waterloo Solutions,"Waterloo Solutions is the material sciences company responsible for inventing a revolutionary diamond metamaterial called QrystalTM.  QrystalTM is a diamond wafer with conductive internal graphite structures. This has applications in the defense, semiconductor, and product authentication sectors, but our preliminary focus in on the defense industry.",Nanotechnology Research,2-10 employees,Privately Held,"Austin, Texas, United States",United States,waterloo.solutions,https://www.linkedin.com/company/waterloosolutions
Quantum Age Corporation,"Quantum Age Corporation is birthing the next age of humanity – the quantum age – through our technology innovation and venture-building platform.  As a pioneer of this quantum era, we are designing and developing technologies that sustainably bridge the transition from the silicon era, and expand our collective ability to address today’s greatest challenges and tomorrow’s greatest opportunities.

We have developed an ecosystem of disruptive technology companies that improve our quality of life, reduce human suffering, and sustain the environment we inhabit.  Our disruptive innovation enables technology ventures to thrive and meet humanity’s most pressing and critical needs.  

As a purpose-driven organization, we prioritize positive impact in all that we do, underscoring our commitments to corporate social responsibility and ESG compliance.  We realize that our success will partially be measured by the positive impact that our technologies have in meeting objectives, such as the United Nations’ Sustainable Development Goals.

Our companies have conceived, designed, and developed technologies that will guide and direct the next 100 years of human life on Earth.  As they continue to develop and commercialize high-impact technologies that foster life-sustaining industries, Quantum Age Corporation’s success will reward our stakeholders and humanity alike.",Nanotechnology Research,201-500 employees,Privately Held,"Los Angeles, California, United States",United States,quantumage.global,https://www.linkedin.com/company/quantum-age-corporation
Applied Sciences,"Applied Sciences is one of the global leaders in the development of nanomaterials. The materials we develop include vapor-grown carbon fibers, carbon nanofibers, conductive thin films, and nanomat. In addition to superior thermal performance, these materials possess various other advantages, including low cost. 

In 1995, ASI obtained funding for accelerated development of its Pyrograf III carbon fiber under the Department of Commerce’s Advanced Technology Program (ATP), which supports “strategic, high-risk research in cutting-edge technology.”",Nanotechnology Research,11-50 employees,Privately Held,"Cedarville, Ohio, United States",United States,apsci.com,https://www.linkedin.com/company/advanced-material
