Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
NASA Jet Propulsion Laboratory,"Founded in 1936, NASA's Jet Propulsion Laboratory is a federally funded research and development center managed for NASA by the California Institute of Technology (Caltech).
 
For nearly nine decades, JPL has helped define the frontier of exploration. The laboratory developed America's first Earth-orbiting science satellite, built the first successful interplanetary spacecraft, and pioneered robotic exploration across the solar system. These achievements helped establish U.S. leadership in space and laid the foundation for generations of scientific discovery.
 
Today, on behalf of NASA and the nation, JPL advances science and innovation through robotic missions that explore Earth, the solar system, and the universe. Our engineers, scientists, technologists, and mission teams continue to push the boundaries of exploration while addressing scientific and technical challenges of national significance.
 
We Dare Mighty Things.

Visit http://jpl.jobs to explore our career opportunities.",Space Research and Technology,"5,001-10,000 employees",Government Agency,"Pasadena, California, United States",United States,nasa.gov,https://www.linkedin.com/company/jet-propulsion-laboratory
Spacebourne,"Spacebourne Inc. is an aerospace AI company building the intelligence and compute infrastructure for the next era of space operations. Our two-platform strategy addresses the most pressing constraints in the orbital environment today and tomorrow.

CLARITY (Cognitive Link Analytics for RF Interference TrajectorY) is our operational ML-powered SaaS platform that predicts satellite RF interference up to 72 hours in advance, delivering actionable recommendations for frequency hops, power adjustments, and maneuver windows before disruptions occur. Currently in active beta with one of the world's top three ground station networks, CLARITY shifts operators from reactive monitoring to predictive control.

GALILEO Cube is our CubeSat platform in development, engineered to deploy GPU-accelerated AI inference directly in orbit using an NVIDIA Jetson compute module, solar power harvesting, and passive radiative cooling. Targeted for first launch in 2027, GALILEO advances the long-term GALILEO Centers vision: modular orbital compute infrastructure that processes data where it is generated, eliminating the bandwidth and latency constraints of ground-based processing as the space economy scales.

CLARITY proves the intelligence. GALILEO extends it into orbit. Together, they represent a single, coherent thesis: the operators who will win in the new space economy need infrastructure that is as intelligent as the missions it supports. Spacebourne is building that infrastructure.",Space Research and Technology,2-10 employees,Privately Held,"Austin, Texas, United States",United States,spacebourne.com,https://www.linkedin.com/company/spacebourne
ORBES,"ORBES is building robots to film and maintain space infrastructure.

Our space station robot ORB increases safety, and offloads $300M a year of manual work in space, allowing astronauts to focus on scientific discovery instead of housekeeping. 

ORB also enables novel revenue streams during un-crewed periods, such as live media capture for mission storytelling, enabling access for more people to experience space from Earth.

Then, Exo-ORB brings this outside, as a small escort satellite to inspect and maintain national security, space stations, space data centers, and space solar farms.

 based in the beautiful Arcadia, CA",Space Research and Technology,2-10 employees,Privately Held,"Los Angeles, California, United States",United States,orbes.space,https://www.linkedin.com/company/orbesspace
Astrochain,"AstroChain encourages and develops space exploration for the retail enthusiast, bringing together people with a common astronomy passion into one platform. We aim to serve the international community as the market-dominant solution to capture, source and trade authentic, un-edited, raw data and video footage of the sky. We will keep records of captured content utilising the blockchain and give members sole ownership via NFTs.",Space Research and Technology,2-10 employees,Privately Held,"Phoenix, Arizona, United States",United States,astrochain.net,https://www.linkedin.com/company/kardashev-gov
"Astrobiome Space, SARL","Human Supplement: Postbiotics Full-Spectrum Metabolite Complex. 
and Regenerative Agriculture: Soil remediation using microbiome therapy of unparalleled quality.

Astrobiome is pioneering the intersection of space research and sustainable agriculture, developing space-enhanced bio-fertilizers, with the mission to revolutionize microbiome-farming on Earth and beyond.",Space Research and Technology,11-50 employees,Partnership,"Houston, Texas, United States",United States,astrobiome.space,https://www.linkedin.com/company/astrobiome-space
EulerX Aerospace,"Thermal & Structural for NewSpace
Flight-proven engineering to raise TRL faster — without surprises.

We help satellite, subsystem, and electronics teams reach qualification with confidence.
Our work spans the full development lifecycle — from design through environmental and in-orbit verification.

We provide proven support in Design, Analysis, AIT, TVAC, and Vibration Testing.

Core Capabilities
 Thermal Systems Engineering
 Thermo-Structural TRL Acceleration
 Program Support — from Heritage to NewSpace

With over 20 years of spacecraft development experience across LEO and GEO missions, and participation in ESA and NASA reviews, we bring the lessons of traditional programs to today’s agile NewSpace teams.

Global Reach
Serving clients across Europe, North America, and LATAM.
UK and US incorporated · Engineering hub in Argentina.",Space Research and Technology,2-10 employees,Privately Held,"Pembroke Pines, Florida, United States",United States,eulerxaerospace.com,https://www.linkedin.com/company/eulerxaerospace
SpaceValley Foundation,"Space Valley Region
Located along the Rio Grande River corridor from southern New Mexico to southern Colorado, Space Valley stands as a pioneering center for scientific inquiry, space exploration, and deep technology innovation. With a storied past as the birthplace of modern rocketry and a history steeped in groundbreaking discoveries, Space Valley merges scientific excellence with human experience to ignite visionary breakthroughs and inspire transformative solutions.

Here, bold vision, cutting-edge science, rich cultural heritage, and diverse voices converge in a dynamic environment that fosters creativity, discovery, and ingenuity. The region’s powerful landscapes and collaborative spirit spark the big ideas needed to tackle the world’s most complex challenges—and shape the future of space.

As a catalyst for global progress, Space Valley brings together the military, business, and public sectors in an incubative environment that supports the earliest stages of innovation. This fusion of advanced technology, technical expertise, cultural wisdom, and entrepreneurial energy powers a thriving community where history and innovation intertwine to change the world.

SpaceValley Foundation
Founded in 2024, SpaceValley Foundation, based in Albuquerque, New Mexico, connects diverse people, ideas, and interests in a singular mission to unlock the transformative power of space to benefit the Space Valley community and humanity as a whole.

As the space industry becomes increasingly relevant to a wider range of people and industries, the foundation optimizes the Space Valley region’s ability to harness this growth by systematically:

Connecting community to build transparency and partnership
Promoting Space Valley stakeholders and their work
Uniting non-space organizations with space opportunities
Cultivating awareness of space and its value to humanity.",Space Research and Technology,2-10 employees,Non Profit,"Albuquerque, New Mexico, United States",United States,spacevalley.org,https://www.linkedin.com/company/spacevalleyfoundation
EOS-X SPACE,"EOS-X Space is redefining the aerospace industry as the new generation of dual-use technology platform integrating near space exploration, artificial intelligence, and advanced data infrastructure into a single operational ecosystem. With a transatlantic footprint and operational experience integrated across the leading aerospace ecosystems of the United States and Europe, the company operates beyond near-space experiential flight operations and low-Earth-orbit capabilities, positioning itself as a key player and global leader in near space, as well as in space tourism, stratospheric intelligence, communications, and data analytics. By converging aerospace mobility with high-altitude data capture and processing, EOS-X Space is creating a new category of infrastructure capable of generating, interpreting, and monetizing critical data streams, with applications across commercial, defense, and global connectivity domains.",Space Research and Technology,51-200 employees,Privately Held,"Titusville, Florida, United States",United States,eosxspace.com,https://www.linkedin.com/company/eosxspace
NorthStar Space Lab (NSL),"NorthStar Space Lab (NSL) is an independent, non-commercial space systems exploration group formed by individuals with a shared interest in space technologies, engineering, and research. NSL serves as a collaborative environment where members investigate concepts related to space systems development, build experimental projects, and document technical progress throughout the development process. Our work spans space systems engineering, autonomous systems, embedded development, FPGA technologies, onboard computing, fault-tolerant architectures, AI applications, robotics, communications, and future spacecraft technologies.

The purpose of NSL is to give members a dedicated space to strengthen engineering skills, develop technical ideas, and pursue long-term space-focused projects outside of a formal business structure. Through research activities, project updates, and technical demonstrations, NSL aims to contribute to the broader space technology community while building a meaningful presence in the space and engineering world. We are always interested in connecting with students, researchers, engineers, and space enthusiasts who are passionate about learning, building, and exploring future space technologies.",Space Research and Technology,2-10 employees,Non Profit,"Fairfax, Virginia, United States",United States,,https://www.linkedin.com/company/northstar-space-lab
VVTOUCH Technology Company,"Development of Algorithms, which learn and optimize their operations to improve performance, developing artificial  intelligence over time.",Space Research and Technology,11-50 employees,Privately Held,"Los Angeles, California, United States",United States,vvtouch.com,https://www.linkedin.com/company/vv-touch
